λ;T;R
400;0,394849847;98,59549606
401;0,545607598;98,61999166
402;0,757488741;98,33877103
403;1,043226562;97,99543597
404;1,209250186;97,7715841
405;1,424832371;97,71620978
406;1,616637944;97,4688437
407;1,637212534;97,54105877
408;1,525528582;97,59960521
409;1,35664253;97,82015241
410;1,245643942;98,13019934
411;1,036443136;98,26998652
412;0,928076264;98,49288586
413;0,734861299;98,64236921
414;0,787375875;98,70933576
415;0,702189927;98,78982948
416;0,704714877;98,91591497
417;0,582198942;99,00300632
418;0,498964369;98,96089479
419;0,337161788;99,06926471
420;0,317285669;99,14780876
421;0,242446446;99,18147916
422;0,137281922;99,32557037
423;0,122828364;99,31761109
424;0,122765464;99,42245965
425;0,068765789;99,54137013
426;0,041017328;99,57085907
427;0,020684904;99,67085832
428;0,082594359;99,60264235
429;0,049556557;99,59733206
430;0,087489086;99,63451181
431;0,065026369;99,6052448
432;0,079459705;99,50556231
433;0,074554261;99,44609707
434;0,115561331;99,4165428
435;0,071387527;99,4489576
436;0,126966304;99,4209096
437;0,074089622;99,47360036
438;0,129018727;99,48493884
439;0,117604472;99,53706883
440;0,149722092;99,64879402
441;0,179186144;99,61932722
442;0,115701657;99,68039881
443;0,113798215;99,7261877
444;0,123390106;99,67903738
445;0,090925196;99,63037442
446;0,091776563;99,56327116
447;0,07965487;99,54338029
448;0,074562133;99,50952513
449;0,099256952;99,47132319
450;0,082060734;99,51546075
451;0,062864448;99,4945167
452;0,086988059;99,58118911
453;0,086570267;99,66263747
454;0,06481326;99,70292218
455;0,071205024;99,78015644
456;0,061949979;99,7862563
457;0,05092832;99,83262156
458;0,008251833;99,80970235
459;0,032771214;99,82278405
460;0,068010052;99,76497022
461;0,033168337;99,72011596
462;0,047901928;99,70085424
463;0,03854146;99,57430582
464;0,056272236;99,49226226
465;0,092934479;99,44363369
466;0,113630585;99,44157863
467;0,123469503;99,45291404
468;0,154949528;99,48716455
469;0,170177109;99,56132831
470;0,170212055;99,60245553
471;0,169615683;99,67684605
472;0,1624789;99,65825625
473;0,153067726;99,73439156
474;0,13948785;99,75153605
475;0,14436133;99,75923395
476;0,114717142;99,80530012
477;0,10732094;99,72373155
478;0,090563701;99,67805912
479;0,102410887;99,59826311
480;0,086462454;99,52925677
481;0,085177015;99,48020329
482;0,084897265;99,46264603
483;0,104554293;99,50810901
484;0,150626148;99,51157388
485;0,221115749;99,51768078
486;0,249000188;99,47049357
487;0,278669214;99,46334256
488;0,280042985;99,45596838
489;0,253370611;99,51586708
490;0,179425886;99,61463938
491;0,13840845;99,71579462
492;0,129604064;99,79982489
493;0,073062408;99,83736781
494;0,062399215;99,89141472
495;0,07757038;99,92057906
496;0,106505942;99,89267455
497;0,123287849;99,84404814
498;0,211639979;99,78930009
499;0,321055341;99,69508467
500;0,410312708;99,58563663
501;0,479222033;99,5062462
502;0,526071581;99,47090967
503;0,537041991;99,45690754
504;0,508899704;99,4824916
505;0,459640526;99,5534312
506;0,392816886;99,59838855
507;0,326983463;99,68820049
508;0,23717939;99,75388901
509;0,192679323;99,83935435
510;0,166664523;99,84905774
511;0,166835709;99,8621898
512;0,223142009;99,84103057
513;0,277756453;99,74887548
514;0,366033595;99,69144787
515;0,453681981;99,6030271
516;0,503825169;99,54565802
517;0,53706229;99,48738847
518;0,559007323;99,50149634
519;0,537890746;99,47553613
520;0,494813841;99,51550449
521;0,423331721;99,5920309
522;0,35146792;99,67901227
523;0,270592975;99,7467481
524;0,23419942;99,78700309
525;0,203689391;99,81292414
526;0,204479954;99,8245136
527;0,238816379;99,80270785
528;0,328714383;99,72351201
529;0,475039461;99,52210079
530;0,694886845;99,29361877
531;1,003083404;99,04474269
532;1,262862413;98,78617556
533;1,441744433;98,55422408
534;1,635914547;98,39644619
535;1,686779737;98,35060744
536;1,619629935;98,41089633
537;1,497495705;98,54099734
538;1,266054606;98,79748816
539;1,039662007;99,00317439
540;0,783953375;99,26262316
541;0,603379351;99,44694083
542;0,504258075;99,55963695
543;0,483732445;99,58378475
544;0,455163846;99,54684519
545;0,550911658;99,45929644
546;0,669358093;99,35395676
547;0,789486541;99,23369524
548;0,902294557;99,11634041
549;1,075155102;98,95273339
550;1,299447959;98,74672973
551;1,627484001;98,379657
552;2,269448587;97,78785625
553;3,222929382;96,7600413
554;4,90838685;95,13316932
555;7,356562095;92,60293164
556;10,76254964;89,1926815
557;15,09985139;84,81962823
558;20,18634766;79,71287271
559;25,62856867;74,31493425
560;31,00040943;68,92886182
561;36,04299714;63,95569916
562;40,32915916;59,66999322
563;43,67029292;56,36199787
564;45,89691221;54,1534849
565;47,26087698;52,83048322
566;47,91164823;52,2077884
567;48,24228009;51,86651492
568;48,61307691;51,51099432
569;49,22717907;50,866835
570;50,35756686;49,75563595
571;52,2659236;47,910829
572;55,20372359;44,95975062
573;59,47364911;40,72128434
574;65,12496005;35,10119039
575;71,68500165;28,57710132
576;78,65255986;21,65878394
577;85,06372273;15,19123233
578;90,25422663;10,01371375
579;93,8521177;6,436639667
580;95,92268219;4,31383888
581;96,86633217;3,32791886
582;97,21779381;3,048285327
583;97,29355566;2,95840077
584;97,3235513;2,936358203
585;97,3889976;2,857618168
586;97,50422345;2,745520391
587;97,62595999;2,621619252
588;97,73860745;2,52893863
589;97,78708675;2,418567962
590;97,87542269;2,337890026
591;97,95146449;2,259988105
592;98,0508731;2,163645617
593;98,11607955;2,092596319
594;98,21394047;2,000457359
595;98,28670019;1,910375501
596;98,37672068;1,859051673
597;98,44138832;1,796224386
598;98,51469955;1,71105478
599;98,57436586;1,64807548
600;98,62255595;1,590325391
601;98,69119554;1,531183513
602;98,73978153;1,48447108
603;98,77712156;1,442029598
604;98,8315664;1,429509842
605;98,87360254;1,38540522
606;98,86686549;1,376372418
607;98,86604808;1,383952242
608;98,89245669;1,404860168
609;98,86719092;1,399747033
610;98,8382912;1,392603935
611;98,82510653;1,449911399
612;98,79761509;1,469651289
613;98,75846428;1,57306182
614;98,70331795;1,598971647
615;98,63837859;1,681679881
616;98,61387863;1,696556043
617;98,55793193;1,741109952
618;98,52688322;1,781064902
619;98,51584592;1,794910703
620;98,53357767;1,763822781
621;98,58438013;1,725526976
622;98,64445442;1,628977534
623;98,73753165;1,566281911
624;98,81587062;1,467811524
625;98,92045949;1,34205337
626;99,00601149;1,245129884
627;99,10101712;1,1896617
628;99,16885452;1,082957251
629;99,21078125;1,053751278
630;99,23331059;1,044750768
631;99,23672317;1,044617517
632;99,23630317;1,035084153
633;99,19328161;1,083914379
634;99,16822892;1,119557917
635;99,13906128;1,122405647
636;99,12656183;1,132312436
637;99,12139403;1,166476247
638;99,10949327;1,152826687
639;99,10312148;1,120105934
640;99,10585543;1,139902909
641;99,12036007;1,122860779
642;99,14069841;1,140133562
643;99,13497239;1,142317269
644;99,12798114;1,155117259
645;99,10492645;1,18386879
646;99,03858773;1,220915483
647;98,98209767;1,305469621
648;98,92254447;1,369100081
649;98,84322487;1,429871556
650;98,74914016;1,493959743
651;98,71676472;1,586185997
652;98,64493191;1,642737959
653;98,6247651;1,649774125
654;98,57434629;1,65886692
655;98,61255693;1,644058106
656;98,62921793;1,644929356
657;98,65884577;1,58747013
658;98,70453079;1,552200504
659;98,80237799;1,529608107
660;98,85346396;1,486059269
661;98,87761454;1,433826536
662;98,91480126;1,379124463
663;98,92395987;1,380462117
664;98,91051623;1,394789009
665;98,87604189;1,410562806
666;98,85619821;1,444783877
667;98,82839327;1,477599913
668;98,75315147;1,531939994
669;98,71279857;1,571231209
670;98,67286225;1,634867096
671;98,63329928;1,690281612
672;98,61494591;1,699344633
673;98,56123709;1,711983191
674;98,58015922;1,716499257
675;98,61711104;1,718924974
676;98,63021651;1,694492592
677;98,62612396;1,679368322
678;98,66408695;1,627432837
679;98,73651733;1,62083448
680;98,74034427;1,568575164
681;98,75452808;1,575642182
682;98,73897485;1,59289307
683;98,73210041;1,604662898
684;98,7137015;1,645367415
685;98,65176447;1,704322562
686;98,58739753;1,764565993
687;98,50598774;1,843855531
688;98,412463;1,897057762
689;98,35363792;1,958783804
690;98,258001;2,052296132
691;98,18935826;2,115688085
692;98,17130352;2,172350259
693;98,09902896;2,186944951
694;98,12849109;2,245143359
695;98,11479381;2,256385089
696;98,07508809;2,231811592
697;98,13516262;2,194147458
698;98,13714361;2,169586083
699;98,20726219;2,133293917
700;98,2479686;2,096436185
701;98,29701875;2,022075403
702;98,37687205;1,971971978
703;98,38788679;1,972935152
704;98,43592524;1,882532189
705;98,45558852;1,878215869
706;98,49808444;1,841937524
707;98,49539367;1,839766961
708;98,53685045;1,849210294
709;98,47867269;1,807031439
710;98,51103264;1,837696321
711;98,51310822;1,848626403
712;98,52608387;1,843901752
713;98,50291851;1,813983002
714;98,52151175;1,805706305
715;98,52651987;1,805900368
716;98,51328632;1,80348036
717;98,55430513;1,790046017
718;98,55802639;1,766270681
719;98,58099302;1,763472563
720;98,39238201;1,756914374
721;98,37197505;1,671926001
722;98,40549953;1,674855948
723;98,39884787;1,705150169
724;98,42963129;1,674018707
725;98,44113171;1,692269427
726;98,43886358;1,711703779
727;98,38176718;1,719355933
728;98,4003408;1,698772856
729;98,37774802;1,716594301
730;98,37657372;1,785074555
731;98,32896374;1,790819783
732;98,27922083;1,827240214
733;98,31222412;1,855172972
734;98,26088212;1,874241462
735;98,23082651;1,875301475
736;98,26199292;1,872515342
737;98,24891304;1,88339146
738;98,25313159;1,842727263
739;98,24725466;1,870210653
740;98,29882364;1,845732442
741;98,3366485;1,817158947
742;98,34141814;1,771476824
743;98,37178219;1,743712405
744;98,46496218;1,737564772
745;98,4697839;1,697465346
746;98,53591972;1,638117528
747;98,54037914;1,590559922
748;98,63097064;1,582204609
749;98,658048;1,534455523
750;98,67264471;1,50286262
751;98,69802115;1,472970065
752;98,71602928;1,485179324
753;98,71924859;1,49001608
754;98,69989048;1,481771625
755;98,74813402;1,482701204
756;98,71642858;1,460674254
757;98,70309851;1,461720188
758;98,73593377;1,461447854
759;98,71650269;1,48064546
760;98,69796091;1,475017745
761;98,7123765;1,503048748
762;98,68950932;1,497851419
763;98,70266252;1,498037106
764;98,70350627;1,483420421
765;98,7055632;1,522904792
766;98,68571755;1,489459729
767;98,67273066;1,517446171
768;98,66007618;1,5050752
769;98,66808475;1,518437515
770;98,66994324;1,555153369
771;98,67558633;1,550089308
772;98,65754678;1,558215698
773;98,64510612;1,542172756
774;98,63095309;1,53796436
775;98,60387976;1,581394588
776;98,63278682;1,606808798
777;98,59229942;1,619594152
778;98,57717173;1,614160016
779;98,57111104;1,63911753
780;98,58917467;1,656942049
781;98,55841929;1,670541254
782;98,54873205;1,668245055
783;98,54327828;1,664977405
784;98,54044505;1,668441607
785;98,60446233;1,667331632
786;98,59849894;1,663076197
787;98,5951234;1,64411686
788;98,58757304;1,670330039
789;98,6254636;1,606625131
790;98,63179251;1,568188146
791;98,67417667;1,583979542
792;98,65055696;1,596459151
793;98,68654245;1,548735046
794;98,68472748;1,558194132
795;98,70286355;1,554356266
796;98,66463711;1,579051602
797;98,64736021;1,5731808
798;98,63922244;1,623814591
799;98,63634717;1,631577282
800;98,60164919;1,681118352
801;98,52001199;1,684326455
802;98,47312813;1,753535573
803;98,45102801;1,786474686
804;98,37731195;1,858588539
805;98,34409798;1,923942192
806;98,26638643;1,948787746
807;98,18483221;2,028440934
808;98,15787016;2,123529649
809;98,05248929;2,173287768
810;97,97802286;2,274573667
811;97,93221834;2,324110162
812;97,87571959;2,368337904
813;97,78883496;2,441869108
814;97,75311336;2,490035288
815;97,70047774;2,551872899
816;97,63795653;2,624727323
817;97,59654088;2,667835907
818;97,52114002;2,714515252
819;97,48818489;2,773643309
820;97,40763843;2,835603235
821;97,3699153;2,898340862
822;97,29165158;2,94163709
823;97,22621363;3,045058436
824;97,12812202;3,108971085
825;97,07680458;3,172432103
826;96,9716951;3,267831302
827;96,90954533;3,34894612
828;96,8069249;3,443849364
829;96,72117524;3,527755961
830;96,62004329;3,63157272
831;96,49438169;3,748627487
832;96,41530295;3,830845645
833;96,31188376;3,948502109
834;96,1994121;4,034127317
835;96,12131286;4,113440749
836;96,04216379;4,22103394
837;95,94715805;4,289122427
838;95,84318843;4,372475092
839;95,76608655;4,4717404
840;95,69696969;4,555426341
841;95,60538391;4,620555493
842;95,53234928;4,694934793
843;95,48615364;4,77317728
844;95,41587914;4,809200339
845;95,33682487;4,886900861
846;95,28630383;4,960333799
847;95,18398108;5,037737938
848;95,10917402;5,130441376
849;95,0091762;5,197765314
850;94,91572872;5,317553268
851;94,80180763;5,449921827
852;94,64417922;5,59013938
853;94,48781076;5,729689308
854;94,30243625;5,909389851
855;94,12471749;6,112320406
856;93,89660955;6,327923569
857;93,61087262;6,578125657
858;93,36223984;6,837998791
859;93,08601079;7,125400225
860;92,74956711;7,42293588
861;92,43391788;7,763369005
862;92,09673399;8,075453481
863;91,75798218;8,420021282
864;91,41854196;8,781961376
865;91,06989152;9,101994993
866;90,71242361;9,450041925
867;90,37417222;9,796388377
868;90,06347267;10,10995017
869;89,77768101;10,40736768
870;89,48830949;10,67997364
871;89,24296511;10,93449859
872;89,0157114;11,16528466
873;88,80598131;11,3731791
874;88,63484176;11,53726032
875;88,48847666;11,67255063
876;88,38978276;11,80279486
877;88,31724158;11,86900695
878;88,26069593;11,92040493
879;88,22193906;11,95580654
880;88,22992146;11,95021044
881;88,25165144;11,9339299
882;88,27995805;11,89124188
883;88,32674371;11,83701823
884;88,42710226;11,76826412
885;88,50689239;11,68524692
886;88,59670639;11,59563765
887;88,68996505;11,50996414
888;88,77736421;11,42172537
889;88,86347999;11,34190627
890;88,92152978;11,266307
891;88,98700328;11,21139149
892;89,02404271;11,16842729
893;89,03805502;11,14663743
894;89,05169117;11,14587671
895;89,0246098;11,17635602
896;88,94908;11,23282097
897;88,87751175;11,31143072
898;88,76597191;11,42485853
899;88,6236534;11,56690206
900;88,4504985;11,7316692