λ;AAN155;AAN155_Ba;
400;3,53E+03;6,15E+03;
402;2,02E+03;4,33E+03;
404;2,80E+03;4,67E+03;
406;4,11E+03;6,19E+03;
408;1,10E+04;1,40E+04;
410;1,55E+04;1,81E+04;
412;1,07E+04;1,05E+04;
414;8,68E+03;6,46E+03;
416;1,03E+04;5,63E+03;
418;1,31E+04;5,84E+03;
420;1,61E+04;6,34E+03;
422;2,02E+04;6,59E+03;
424;2,57E+04;7,10E+03;
426;3,12E+04;7,60E+03;
428;3,81E+04;8,10E+03;
430;4,62E+04;8,28E+03;
432;5,48E+04;8,84E+03;
434;6,56E+04;9,30E+03;
436;7,80E+04;9,37E+03;
438;9,14E+04;9,49E+03;
440;1,08E+05;9,86E+03;
442;1,25E+05;9,49E+03;
444;1,45E+05;9,89E+03;
446;1,68E+05;1,03E+04;
448;1,89E+05;1,01E+04;
450;2,10E+05;1,04E+04;
452;2,36E+05;1,08E+04;
454;2,63E+05;1,11E+04;
456;2,91E+05;1,12E+04;
458;3,23E+05;1,19E+04;
460;3,53E+05;1,24E+04;
462;3,86E+05;1,21E+04;
464;4,16E+05;1,23E+04;
466;4,52E+05;1,31E+04;
468;4,84E+05;1,31E+04;
470;5,20E+05;1,32E+04;
472;5,52E+05;1,40E+04;
474;5,84E+05;1,39E+04;
476;6,13E+05;1,45E+04;
478;6,45E+05;1,50E+04;
480;6,75E+05;1,45E+04;
482;7,00E+05;1,54E+04;
484;7,25E+05;1,62E+04;
486;7,42E+05;1,64E+04;
488;7,68E+05;1,71E+04;
490;7,89E+05;1,75E+04;
492;8,04E+05;1,85E+04;
494;8,18E+05;1,89E+04;
496;8,27E+05;1,99E+04;
498;8,36E+05;2,09E+04;
500;8,40E+05;2,20E+04;
502;8,48E+05;2,37E+04;
504;8,46E+05;2,52E+04;
506;8,46E+05;2,77E+04;
508;8,38E+05;3,05E+04;
510;8,38E+05;3,37E+04;
512;8,30E+05;3,76E+04;
514;8,22E+05;4,20E+04;
516;8,13E+05;4,72E+04;
518;7,98E+05;5,41E+04;
520;7,85E+05;6,01E+04;
522;7,76E+05;6,98E+04;
524;7,58E+05;7,90E+04;
526;7,40E+05;9,07E+04;
528;7,24E+05;1,03E+05;
530;7,06E+05;1,17E+05;
532;6,85E+05;1,31E+05;
534;6,66E+05;1,48E+05;
536;6,52E+05;1,67E+05;
538;6,31E+05;1,86E+05;
540;6,11E+05;2,07E+05;
542;5,93E+05;2,29E+05;
544;5,71E+05;2,55E+05;
546;5,53E+05;2,79E+05;
548;5,34E+05;3,06E+05;
550;5,14E+05;3,38E+05;
552;4,96E+05;3,67E+05;
554;4,76E+05;4,00E+05;
556;4,59E+05;4,28E+05;
558;4,41E+05;4,61E+05;
560;4,23E+05;5,01E+05;
562;4,07E+05;5,30E+05;
564;3,87E+05;5,66E+05;
566;3,73E+05;6,01E+05;
568;3,56E+05;6,38E+05;
570;3,44E+05;6,78E+05;
572;3,28E+05;7,11E+05;
574;3,13E+05;7,44E+05;
576;2,99E+05;7,82E+05;
578;2,88E+05;8,11E+05;
580;2,75E+05;8,44E+05;
582;2,64E+05;8,80E+05;
584;2,50E+05;9,08E+05;
586;2,39E+05;9,38E+05;
588;2,26E+05;9,71E+05;
590;2,18E+05;9,96E+05;
592;2,10E+05;1,02E+06;
594;1,97E+05;1,04E+06;
596;1,91E+05;1,06E+06;
598;1,79E+05;1,09E+06;
600;1,73E+05;1,11E+06;
602;1,63E+05;1,12E+06;
604;1,55E+05;1,15E+06;
606;1,50E+05;1,15E+06;
608;1,45E+05;1,17E+06;
610;1,37E+05;1,17E+06;
612;1,30E+05;1,19E+06;
614;1,24E+05;1,19E+06;
616;1,20E+05;1,19E+06;
618;1,13E+05;1,18E+06;
620;1,09E+05;1,18E+06;
622;1,04E+05;1,19E+06;
624;9,79E+04;1,19E+06;
626;9,68E+04;1,18E+06;
628;8,88E+04;1,19E+06;
630;8,74E+04;1,19E+06;
632;8,37E+04;1,18E+06;
634;8,07E+04;1,18E+06;
636;7,64E+04;1,17E+06;
638;7,48E+04;1,16E+06;
640;6,95E+04;1,15E+06;
642;6,75E+04;1,15E+06;
644;6,56E+04;1,13E+06;
646;6,10E+04;1,13E+06;
648;5,91E+04;1,12E+06;
650;5,69E+04;1,10E+06;
652;5,47E+04;1,08E+06;
654;5,17E+04;1,07E+06;
656;5,00E+04;1,05E+06;
658;4,82E+04;1,04E+06;
660;4,67E+04;1,02E+06;
662;4,42E+04;1,00E+06;
664;4,08E+04;9,84E+05;
666;4,10E+04;9,83E+05;
668;3,96E+04;9,69E+05;
670;3,73E+04;9,38E+05;
672;3,67E+04;9,24E+05;
674;3,37E+04;9,02E+05;
676;3,30E+04;8,80E+05;
678;3,34E+04;8,73E+05;
680;3,10E+04;8,50E+05;
682;2,93E+04;8,35E+05;
684;2,87E+04;8,16E+05;
686;2,87E+04;7,98E+05;
688;2,57E+04;7,79E+05;
690;2,39E+04;7,68E+05;
692;2,52E+04;7,50E+05;
694;2,50E+04;7,35E+05;
696;2,51E+04;7,21E+05;
698;2,25E+04;7,02E+05;
700;2,22E+04;6,86E+05;
702;2,02E+04;6,81E+05;
704;2,05E+04;6,62E+05;
706;2,01E+04;6,51E+05;
708;1,89E+04;6,27E+05;
710;1,77E+04;6,08E+05;
712;1,70E+04;6,03E+05;
714;1,70E+04;5,81E+05;
716;1,63E+04;5,71E+05;
718;1,55E+04;5,57E+05;
720;1,70E+04;5,40E+05;
722;1,43E+04;5,32E+05;
724;1,66E+04;5,19E+05;
726;1,43E+04;5,06E+05;
728;1,39E+04;4,92E+05;
730;1,25E+04;4,78E+05;
732;1,18E+04;4,69E+05;
734;1,26E+04;4,61E+05;
736;1,13E+04;4,53E+05;
738;1,13E+04;4,35E+05;
740;1,10E+04;4,11E+05;
742;1,04E+04;4,13E+05;
744;1,13E+04;3,96E+05;
746;9,06E+03;3,91E+05;
748;8,91E+03;3,77E+05;
750;9,72E+03;3,73E+05;
752;8,63E+03;3,63E+05;
754;9,19E+03;3,53E+05;
756;8,51E+03;3,46E+05;
758;7,61E+03;3,26E+05;
760;6,68E+03;3,24E+05;
762;6,38E+03;3,12E+05;
764;7,42E+03;3,03E+05;
766;6,32E+03;2,92E+05;
768;7,63E+03;2,93E+05;
770;6,17E+03;2,73E+05;
772;6,84E+03;2,69E+05;
774;6,20E+03;2,61E+05;
776;6,39E+03;2,64E+05;
778;5,66E+03;2,44E+05;
780;5,31E+03;2,36E+05;
782;6,44E+03;2,33E+05;
784;5,68E+03;2,24E+05;
786;4,99E+03;2,21E+05;
788;5,38E+03;2,17E+05;
790;4,77E+03;2,04E+05;
792;6,31E+03;1,97E+05;
794;4,30E+03;1,97E+05;
796;5,00E+03;1,86E+05;
798;4,15E+03;1,89E+05;
800;3,32E+03;1,86E+05;