Wavelength (µm);Reflectance (%)
0,2;82,803717
0,21;86,043638
0,22;88,204411
0,23;89,288719
0,24;89,86188
0,25;89,970319
0,26;89,864028
0,27;89,639296
0,28;89,16314
0,29;88,772057
0,3;88,229679
0,31;87,706482
0,32;87,259274
0,33;86,857786
0,34;86,508388
0,35;86,213629
0,36;85,959887
0,37;85,804402
0,38;85,640312
0,39;85,552126
0,4;85,494057
0,41;85,47441
0,42;85,498062
0,43;85,560499
0,44;85,612626
0,45;85,681952
0,46;85,731824
0,47;85,818845
0,48;85,900411
0,49;85,995857
0,5;86,062906
0,51;86,12787
0,52;86,172183
0,53;86,22486
0,54;86,227898
0,55;86,280882
0,56;86,269655
0,57;86,27501
0,58;86,268961
0,59;86,272188
0,6;86,223706
0,61;86,17409
0,62;86,11874
0,63;86,038788
0,64;85,944088
0,65;85,849354
0,66;85,757409
0,67;85,628385
0,68;85,471469
0,69;85,334222
0,7;85,148068
0,71;84,970672
0,72;84,747095
0,73;84,531944
0,74;84,265508
0,75;84,031262
0,76;83,769721
0,77;83,518924
0,78;83,269865
0,79;83,082831
0,8;82,975245
0,81;82,951213
0,82;83,042146
0,83;83,269304
0,84;83,611328
0,85;84,096158
0,86;84,656037
0,87;85,316505
0,88;86,013184
0,89;87,474323
0,9;88,120758